place_id,name,address,city,state,postal_code,country,phone,international_phone,website,emails,types,rating,user_ratings_total,source_query,source_location,fetched_at
ChIJ4WLMVnBbwokR2fo2zqNUiGo,"Petri Plumbing, Heating Cooling & Drain Cleaning",,,,,,(929) 209-4685,+1 929-209-4685,https://www.petriplumbing.com/?utm_source=google&utm_medium=gbp&utm_campaign=butler,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:54:56.492734
ChIJMb74IHXLw4kRUN1Eh9A9vBA,"Consider It Done Plumbing, Water Heaters, and Drain Cleaning",,,,,,(516) 689-0423,+1 516-689-0423,https://www.cid247.com/?utm_campaign=gmb,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:54:56.699840
ChIJLTRaItRawokRuWaa9SdpOLY,Main Man Water Main & Sewer Repair,,,,,,(718) 614-6655,+1 718-614-6655,http://mainmanwatermain.com/,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:54:56.905557
ChIJIwS0HYVEwokRvjXJk1ww1sM,A Good Plumber Corp.,,,,,,(718) 648-6838,+1 718-648-6838,https://agoodplumber.com/,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:54:57.109138
ChIJyS_mtfldwokRZ8Mys0TzLbc,"24 Hr. Emergency Plumbing, Hot Water Heater & Boiler Replacement",,,,,,(518) 335-4282,+1 518-335-4282,http://www.plumbingandhomerepair.com/,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:54:57.414083
ChIJfwUUPZtdwokREzoS24C-EuM,NONSTOP PLUMBERS CORP,,,,,,(212) 567-2000,+1 212-567-2000,https://www.nonstopplumbers.com/,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:54:57.619699
ChIJsVh4Iq1bwokR2e0XxzaZNbw,RR Plumbing Roto-Rooter,,,,,,(718) 485-0207,+1 718-485-0207,https://www.rotorooter.com/brooklynny/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:54:57.831089
ChIJ9_pr9VNawokR-4Eadp9GqKs,"Vigilante Plumbing, Heating & Air Conditioning",,,,,,(718) 530-0404,+1 718-530-0404,https://www.bestbrooklynplumber.com/,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:54:58.346483
ChIJ__87LSVFwokRIcDoprKzres,Quix Plumbing Service,,,,,,(718) 354-7315,+1 718-354-7315,https://www.quixservice.com/,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:54:58.552634
ChIJLzCiYqlbwokRzlh5npIpLWQ,All 24 HR Plumbing Brooklyn,,,,,,(347) 919-2325,+1 347-919-2325,,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:54:58.840434
ChIJ7_Gs9qdewokRx3sPdUqKNnk,Above and Beyond Plumbing & Heating Corp.,,,,,,(718) 484-4911,+1 718-484-4911,https://abovebeyondplumbing.com/,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:54:59.120130
ChIJ78SdkKSVxYcRojYn9DzmOrk,Plumbing Brooklyn & Drainage Clean Star,,,,,,(332) 388-8062,+1 332-388-8062,,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:54:59.792286
ChIJHfk8yFhPwokRcxgyNTBcTNI,24 Hour Emergency Plumber NYC - Brooklyn,,,,,,(347) 462-0214,+1 347-462-0214,https://www.24houremergencyplumbernyc.com/brooklyn/,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:55:00.086128
ChIJ3RhPnkVFwokR93zYfltrm-E,Nationwide Plumbers,,,,,,(917) 905-4327,+1 917-905-4327,https://www.nationwideplumbers.com/,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:55:00.420342
ChIJ09otaRNFwokRaYrkMA4gqcs,L&B Mechanical | Brooklyn NY | Water Heater Installation | Plumbing,,,,,,(718) 974-2720,+1 718-974-2720,http://lbmechanicalny.com/,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:55:00.744961
ChIJeyrTuvpKwokRdiBwqSgPotY,Philco Plumbing and Heating,,,,,,(718) 605-0450,+1 718-605-0450,http://www.philconyc.com/,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:55:01.043922
ChIJLUlABFpDwokRSJw_TmRCZ2I,Perfect Sewer & Drain Cleaning Service,,,,,,(718) 241-4200,+1 718-241-4200,,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:55:01.555306
ChIJyW79Pv1FwokRHXoOS651zhU,No.1 Sewer & Drain Cleaning Services,,,,,,(917) 443-1178,+1 917-443-1178,https://www.nyc1sewer.com/,,,,,plumbers,"Brooklyn, NY",2025-12-24T06:55:01.906371
